,comment_id,video_id,author,comment_text,published_at,like_count
1332,UgzMgj32t6aMZLCQkgN4AaABAg,JpaK8OhL4FI,@sekarsupriatna3859,Kata saya kue,2025-08-27T01:46:00Z,0
1333,UgyQ-FWhhIpOKRcf0XV4AaABAg,JpaK8OhL4FI,@apriandipangasah,Bang jok motor buat Mio M3 yg empuk dan gak gampang selonjoran.budgetnya berapa bang?gua udah 6thn belum2 ganti jok motor gua.,2025-08-27T00:57:31Z,0
1334,Ugzulvv696D3csmc3Tl4AaABAg,JpaK8OhL4FI,@laparuddin734,Salam dari malaysia..boleh pos ke Malaysia tak mas,2025-08-27T00:40:05Z,0
1335,UgwHt7Akm_0-KpMIN_N4AaABAg,JpaK8OhL4FI,@chototsuprayogie291,Untuk Aerox lama 2018 berapa bos,2025-08-27T00:27:04Z,0
1336,Ugy3kXlpVru4cavwTp14AaABAg,JpaK8OhL4FI,@afifassihab7953,Berapa bang?,2025-08-27T00:19:13Z,0
1337,UgzS09wGpQDm9mx5Bnh4AaABAg,JpaK8OhL4FI,@animenarutoid560,Pake vesmet enak. Ga kerasa pegel pantat meski perjalanan jauh. Cuman minusnya boros bensin,2025-08-26T23:50:57Z,0
1338,UgzQbDBppGcvWzYgLDF4AaABAg,JpaK8OhL4FI,@TheBest-zv2cg,Bang ada ga kulit joke yang tahan kucing bngt bngt kesel bngt gw Bru ganti udh di goresin,2025-08-26T23:38:47Z,0
1339,UgylxW8ITtR1gUtjC314AaABAg,JpaK8OhL4FI,@MasBintang-lv7je,bang kalo lebarin jok ke 2×2 meter bisa ga bang... kalo pegel kan bisa rebahan,2025-08-26T22:59:34Z,0
1340,Ugzh3lo50xv6OKXIaV14AaABAg,JpaK8OhL4FI,@imamgimom7956,Kurleb 500,2025-08-26T22:25:48Z,0
1341,UgymTW4dqdrRgLHVp-d4AaABAg,JpaK8OhL4FI,@Idil766,"Anjay gak jok
Gak body
Gak cat semua serba tipis😂😂😂",2025-08-26T22:04:08Z,0
1342,UgyNMSEot4RUCNWOpV54AaABAg,JpaK8OhL4FI,@godliefsoselisa9366,Mantap bang,2025-08-26T20:51:27Z,0
1343,Ugytvm4fg_c3vaiB-hN4AaABAg,JpaK8OhL4FI,@santosobambang2806,klo di cakar kucing gimana habis lah tu😂,2025-08-26T18:34:04Z,0
1344,UgzPvbVJ3uIXXRmFBPl4AaABAg,JpaK8OhL4FI,@Silvermoon13738,SASARAN EMPUK BAGI KUCING LIAR.😹,2025-08-26T17:13:44Z,1
1345,UgyXJp7d818NnmR09K54AaABAg,JpaK8OhL4FI,@SatuMenits,Harga berapa,2025-08-26T15:15:01Z,0
1346,Ugx6lsfwovwgMQRrZyF4AaABAg,JpaK8OhL4FI,@mellymolly,Pasti mahal,2025-08-26T14:42:30Z,0
1347,Ugwyo7wE221K_qhHyUJ4AaABAg,JpaK8OhL4FI,@trevinrenaldi,"Serius nanya, kalau pakai busa latex gini emang bisa naik motor 2 jam kaga pegel? Gua yang 45 menit aja udah kebas separuh badan",2025-08-26T14:28:08Z,2
1348,UgxcMkBtxWBTQYRgwzV4AaABAg,JpaK8OhL4FI,@DamarDwinovianto-ov6hn,Workshop nya lok mna bang??,2025-08-26T14:26:12Z,0
