Author,Komentar,Prediksi,Score,Raw_Prob,Metode,Is_Judol
@AhmadAhmad-i1k1m,"Ini adalah Daffa😅.  

Kabelnya fannynya unlimited 😅",🟢 AMAN,16.9%,0.16940796902822408,Weighted Average,0
@dediisidik4108,Bang itu lawanya gua bang parah si cape gua bang main di lok mulu,🟢 AMAN,29.5%,0.2946389929471813,Weighted Average,0
@NARUTO-qr7dx,minus nya dafa itu cuma satu (gk mau turtle) dri konten konten nya 😂 tpi skil nya gila,🟢 AMAN,19.2%,0.19194530878849222,Weighted Average,0
@AgyaBalapradana,Gua,🟢 AMAN,12.4%,0.12375872526854853,Weighted Average,0
@safransafranmetic4680,Percaya gk player ML tu sombong². Bukti nya nonton doang tapi subscribe,🟢 AMAN,17.7%,0.17699057376577806,Weighted Average,0
@safransafranmetic4680,Percaya gk player ML tu sombong². Bukti nya nonton doang tapi subscribe,🟢 AMAN,17.7%,0.17699057376577806,Weighted Average,0
@DukjatVlogjeh,9:26 😂,🟢 AMAN,8.7%,0.08701180589764802,Weighted Average,0
@EtikuswatiKuswaeti,Bisa top up ff gak bang di bang jef,🟢 AMAN,16.8%,0.1677241216666008,Weighted Average,0
@kaffycakradara-bc4gz,miya gamati karna ada buff tower bang,🟢 AMAN,14.5%,0.14490928168362036,Weighted Average,0
@creator12399,Akhirnya yang like makin rame,🟢 AMAN,34.7%,0.34672019660479064,Weighted Average,0
@starboys_zohir,Bang lu pantas disebut sebagai rival Fanny nya jessnolimit😊,🟢 AMAN,20.8%,0.20824599944211625,Weighted Average,0
@farisfaris2862,Malah lucu intronya geloooo,🟢 AMAN,22.3%,0.22311436031350348,Weighted Average,0
@dirgacssteel3551,"Siapa yg gak tau rrq skylar!!
Sumpah gW gak tau mereka siapa.yg gW tau lemon ma jess no limited edition",🟢 AMAN,17.6%,0.17618723128554276,Weighted Average,0
@kadekganteng-t4c,bg lu kaya katak bsizer dah suara lu mirip soal nya sama wajah😅😅,🟢 AMAN,12.1%,0.12111329892376675,Weighted Average,0
@AhmadHabib-l3b,Bang daffa coba dong by one sekali sama bang jessnolimit,🟢 AMAN,13.5%,0.13469955889375604,Weighted Average,0
@Yanz.Shiroko,𝐎𝐏𝐄𝐍𝐈𝐍𝐆 𝐍𝐘𝐀 𝐁𝐀𝐆𝐔𝐒 𝐁𝐀𝐍𝐆𝐄𝐓,🟢 AMAN,45.9%,0.45877854547967584,Weighted Average,0
@MegakaryaSentosa,tapi endingnya..? minta di puji.. wkwkwkwk,🟢 AMAN,10.1%,0.101195469729405,Weighted Average,0
@FunnyVideos-d6f2u,0:43 skip iklan,🟢 AMAN,12.8%,0.12786472215979966,Weighted Average,0
@sitikomalasari9392,1080890644 tuhh id gw   kalo lu kalah harus berteman sama gw selama nya,🟢 AMAN,33.4%,0.3336313431802931,Weighted Average,0
